Akers 	8974	322720.84
Alachoyan 	9392	1903552.56
Alf 	9046	149378.92
Almeida 	1086	1770739.66
Amedee 	8044	1675974.74
Anderson 	5550	263909.88
Andiola 	7009	1234400.14
Avila 	4915	1276301.05
Bachand-Doucet 	3531	1501351.69
Baker 	6997	463676.55
Barrows 	8713	113823.77
Bartocci 	5455	1401587.80
Bates 	1699	1612081.03
Baynham 	3759	622990.35
Belkin 	9129	1719408.42
Benedetti 	9426	1031460.05
Bentson 	6569	1712452.81
Berkowitz 	9735	1746078.83
Berry 	1883	1780969.91
Bixby 	6643	1185897.31
Brennan 	2334	1912202.48
Briggs 	9579	1250027.33
Brissette 	2561	940390.95
Brooks-Moore 	8069	874948.14
Broussard 	6493	1876544.66
Bruestle 	9368	919666.88
Buckentine 	8133	647154.62
Bui 	4011	1185956.83
Burdette 	9609	660324.52
Burgess 	6835	1165169.31
Burke 	1029	228655.08
Burtner-Abt 	4779	1938287.47
Bush 	7478	1936871.88
Cameron 	5729	1970905.72
Capulong 	6748	833831.66
Carr 	6550	1222757.92
Carreiro 	3120	202411.77
Cartellieri 	4232	480426.51
Casper 	5527	1032185.01
Chapman 	3830	674104.18
Charest 	9183	1266430.97
Charles 	1007	1033945.06
Chartier 	6735	1393197.29
Cheung 	9830	1915059.05
Christianson 	2425	1521635.58
Chudwick 	1519	1151212.61
Close 	8616	1556384.03
Conklin 	8376	996608.83
Conley 	5249	211453.90
Conlon 	3898	1069641.83
Connell 	6077	922229.57
Conner 	1823	72472.85
Corrado 	3872	1157156.04
Corry 	4994	36652.17
Costa 	6252	1757104.38
Cote-Miles 	2798	1333108.32
Couto 	3015	1093287.33
Curelop 	6522	1689110.51
Cushing 	5068	743318.24
Darr 	7540	1630628.32
Deines 	5923	1403098.64
Delsesto 	9529	321573.65
Dente 	4157	348010.33
Deslauriers 	9206	332622.33
Desroberts 	7941	1125258.67
Dierdorf 	3315	481927.52
Dipietro 	3883	1293826.30
Dirzius 	4953	706806.24
Dolan 	5530	1208788.24
Dorsaz 	4529	24119.84
Doyon 	1902	1087734.62
Dubois 	3610	1683241.48
Duffield 	1969	447696.27
Earles 	2777	238775.96
Edel 	5366	833040.09
Edinger 	8126	966859.08
Edmed 	9712	527630.03
Edwards 	2732	314778.66
Emanuele 	2105	1773532.35
Engle 	5889	316377.53
Fam 	7515	166290.42
Fisher 	3179	1103723.19
Fitzgerald 	1863	464699.70
Foley 	1273	1129292.96
Fortin 	6696	173573.19
Fournier 	3177	127423.27
Foutch 	4794	26309.66
Fox 	9185	1459099.35
Fuller 	3798	522622.53
Fyrer 	4567	1464592.65
Gabriel 	8327	565269.36
Gagne 	2019	1884104.95
Galik 	7188	732549.68
Gallant 	6407	1866295.53
Gatheral 	3752	1972979.84
Gawdiak 	6264	1314885.00
Gilbert 	4941	413438.08
Gillon 	4854	327186.55
Glasswell 	6798	1158218.88
Goldberg 	8061	1867918.52
Gonzalez 	6320	1730384.66
Gorman 	6313	117343.65
Hagemeister 	3930	1070813.45
Hale 	5913	1442170.41
Haley 	3289	430588.93
Haller 	9294	1599232.18
Hamlin 	1369	343800.71
Hansen 	3863	676603.01
Hanson 	5529	1175932.28
Hare 	6607	1164201.35
Harris 	9051	480400.54
Hartselle 	4399	1293214.25
Hauff 	2567	775855.02
Haugaard 	9718	571021.33
Hays 	6353	814714.16
Heinrichs 	5707	237874.33
Henschen 	9796	76118.26
Heraty 	8827	1337843.40
Heuvelman 	9931	1494770.56
Hill 	6871	1651620.56
Hoffman-Brion 	8143	1392359.21
Huggett 	8459	1537186.48
Hynes 	6238	1922372.94
Infante 	5107	548825.66
James 	1992	675109.55
Jaremback 	7467	89075.33
Jaswell 	8661	400485.46
Johnson 	5395	943175.52
Jones 	1998	143832.40
Katz 	9473	677955.32
Kellar 	7828	1210026.43
Kelley 	5039	162192.03
Kennedy 	6666	207585.68
Kiernan 	2395	1593261.39
Kim 	6277	210185.02
King 	8094	1490226.40
Klink 	5646	568284.97
Kobinsky 	7732	832780.72
Kochanowsky 	4640	1818177.30
Kraska 	2355	1794161.98
Kreuzkamp 	9020	1584719.40
Kuczinski 	5972	1019204.94
Lambert 	2933	1041624.41
Lamoureux 	1743	610652.06
Landry 	7118	1708418.31
Langevin 	3340	486678.23
Larmon 	4580	1444298.10
Lawn 	6597	275375.42
Legat 	4549	1867916.49
Lentini 	5883	685991.01
Lepage 	2078	1862361.41
Lesenski 	4710	245135.23
Leslie 	8773	57822.23
Levesque 	3203	1126796.51
Lindstrom 	1923	1184947.61
Lux 	3036	1108427.69
MacDonald 	9021	1102891.15
Malo 	4300	879951.45
Manfelt 	8863	967920.02
Marino 	6035	473519.84
Martel 	8711	1658395.60
Martin 	5418	194401.49
Martino 	7707	1041030.86
Massefski 	4087	598707.56
Mazza 	6132	1185307.37
McCarthy 	3468	1742723.32
McDonough 	5878	1871446.41
McDonough-Notermann 	1443	588347.43
McElroy 	2042	684711.37
McEnroe 	2766	894072.65
McLaughlin 	1358	1115789.02
Meek 	7763	1081911.15
Menzies 	6755	985105.67
Merkt 	4594	1250998.65
Mermin 	2978	1977513.41
Michel 	1308	942998.75
Miller 	8334	1305535.95
Millhollin 	9856	6700.53
Minnella 	6912	897263.49
Molloy 	9607	1974971.35
Moriarty 	8305	203140.48
Morris 	7173	1657789.26
Morton 	5136	1400066.54
Mullen 	1049	776880.08
Murdock 	5698	1666141.39
Murnikov 	2127	143683.67
Musselman 	7502	1262348.31
Naples 	2151	812350.96
Napper 	4973	775014.27
Neff 	4069	1275675.41
Nicholls 	7675	1954085.67
Nieland 	5688	246039.18
Norton 	1012	201506.02
Notermann 	4401	1109531.75
Nurse 	9065	825485.11
Odendahl 	8377	1731047.96
Oliver 	9632	1055526.43
Olson 	7454	814488.13
O'Mara 	5016	1585248.32
O'Rourke 	9053	351978.67
Orr 	4607	951417.41
Padwa 	8120	1776655.39
Pappastratis 	7730	857300.96
Pennington 	4754	1003860.30
Petra 	9164	1793694.01
Phillips 	6351	328607.66
Pisano 	1718	1309695.17
Powers 	8025	1407046.14
Pratt 	1465	1831026.33
Price 	8520	1945521.06
Qua 	1877	490881.68
Quattrucci 	5973	682115.16
Queally 	8418	1289851.04
Reddy 	6913	1498495.80
Rege 	6050	851870.19
Rishworth 	5753	1353048.25
Rita 	9386	1527868.63
Robert 	6276	1651183.76
Roggenkamp 	4367	355399.20
Rosol 	6963	865823.58
Ross 	5493	1326356.48
